Title,Author,Year,Source title,Cited by,Document Type,Language,Testo della Ricerca
"Leveraging Prior Computing and Music Experience for Situational Interest Formation","McKlin T.; McCall L.; Lee T.; Magerko B.; Horn M.; Freeman J.","2021","SIGCSE 2021 - Proceedings of the 52nd ACM Technical Symposium on Computer Science Education","8","Conference paper","EN","Computer science educators often use multiple creative computing platforms to motivate and support students learning computer science. Arguably, we understand little about the complementary ways in which the various platforms build on students' prior experiences. This study compares two CS+music platforms used by middle school students in a summer camp to understand the unique affordances of each platform at activating and building upon prior music and computing experiences. We assess interest formation through pre and post student surveys and via interviews on the final day of the camp. The findings suggest that using different approaches to CS+music platform design may help engage students with different levels of prior music and coding experience. © 2021 ACM."
"Marco de aprendizaje colaborativo basado en videojuegos para el desarrollo del pensamiento computacional","Jesus A.M.D.; Silveira I.F.","2021","Revista Facultad de Ingenieria","4","Article","EN","Computational Thinking (CT) can amplify learners' skill sets so that they become excellent problem-solvers. Game-Based Learning and Collaborative Learning are two approaches that may aid in the development of CT skills. This paper describes a framework based on Game and Problem-Based Learning Strategies which aims to enhance the CT teaching and improves students' social skills, considering aspects of fun. The framework stands out for including collaborative learning features defined in the main literature. Also, the strategy was developed specifically to fit the games' dynamics. The approach was evaluated via metacognitive and transactive analysis and by a survey. The results showed evidence that the method is able to stimulate interaction among students to apply problem-solving strategies.  © 2020 All right Reserved"
"Application of virtual reality in computer science education: A systemic review based on bibliometric and content analysis methods","Agbo F.J.; Sanusi I.T.; Oyelere S.S.; Suhonen J.","2021","Education Sciences","61","Article","EN","This study investigated the role of virtual reality (VR) in computer science (CS) education over the last 10 years by conducting a bibliometric and content analysis of articles related to the use of VR in CS education. A total of 971 articles published in peer-reviewed journals and conferences were collected from Web of Science and Scopus databases to conduct the bibliometric analysis. Furthermore, content analysis was conducted on 39 articles that met the inclusion criteria. This study demonstrates that VR research for CS education was faring well around 2011 but witnessed low production output between the years 2013 and 2016. However, scholars have increased their contribution in this field recently, starting from the year 2017. This study also revealed prolific scholars contributing to the field. It provides insightful information regarding research hotspots in VR that have emerged recently, which can be further explored to enhance CS education. In addition, the quantitative method remains the most preferred research method, while the questionnaire was the most used data collection technique. Moreover, descriptive analysis was primarily used in studies on VR in CS education. The study concludes that even though scholars are leveraging VR to advance CS education, more effort needs to be made by stakeholders across countries and institutions. In addition, a more rigorous methodological approach needs to be employed in future studies to provide more evidence-based research output. Our future study would investigate the pedagogy, content, and context of studies on VR in CS education. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
"Experience and Practice Teaching an Undergraduate Course on Diverse Heterogeneous Architectures","Frachtenberg E.","2021","Proceedings of EduHPC 2021: Workshop on Education for High-Performance Computing, Held in conjunction with SC 2021: The International Conference for High Performance Computing, Networking, Storage and Analysis","4","Conference paper","EN","Heterogeneous computing is growing as an important hardware and software paradigm, both in high-performance computing and in application computing in general. Nevertheless, the topic is a relative newcomer to undergraduate curricula, and there is a dearth of guidance on suitable syllabi and lesson plans. The educational challenge of teaching this topic is exacerbated by the rapid pace of heterogeneous-hardware innovation and adoption, which can render parts of current textbooks obsolete.To help other educators facing these challenges, and to promote a conversation about a standardized approach toward teaching heterogeneous computing, this paper presents a case study for one semester-long class on the topic. It describes the goals, structure, challenges, and lessons learned from the introduction of a diverse heterogeneous hardware and software environment to computer science majors at Reed College, a small liberal-arts school. This paper also includes suggestions and ideas for future adoption, adaptation, and expansion of this class.  © 2021 IEEE."
"Active learning augmented reality for steam education—a case study","Jesionkowska J.; Wild F.; Deval Y.","2020","Education Sciences","107","Article","EN","Immersive technologies are rapidly transforming the field of education. Amongst them, Augmented Reality (AR) has shown promise as a resource, particularly for education in Science, Technology, Engineering, Arts, and Mathematics (STEAM). There are, however, few teachers deploying this new medium in the classroom directly, and, consequently, only a few, elect students benefit from the AR-enriched offers. Curricula are already overloaded, and schools generally lack developmental resources, thus leaving no room for experimentation. This situation is further aggravated by the too few educational applications available with sufficient learning content. In this article, we investigate the method of Active Learning for the teaching of STEAM subjects, using a format where students are tasked with building an AR application as part of their learning. We evaluate the applicability of the Active Learning for STEAM subjects with a qualitative, case study approach, applying the workshop format as an extracurricular activity in our work with students from a range of secondary schools in Oxford. We discuss how the format works, so it can be embedded into regular curricula, not just as an extracurricular activity, also providing an overview on the involved teaching units and rationale. All teams in our preview audience of the case study succeeded in building working applications, several of impressive complexity. Students found that the lessons were enjoyable and AR technology can enhance their learning experience. The Active Learning method served as a catalyst for students’ skills development, with the case study providing evidence of learning to code, working with a physics simulation engine, ray-tracing, and geometry, learning how to manage teams and interact with other students/instructors, and engineering a working prototype of a game. We consequentially argue that combining the STEM subjects and the arts, using the proposed Active Learning format, is able to provide a more holistic and engaging education. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
"A systematic review of mobile game-based learning in STEM education","Gao F.; Li L.; Sun Y.","2020","Educational Technology Research and Development","77","Article","EN","Research on mobile game-based learning has been gaining attention in the past few years. To understand the potential of mobile game-based learning in STEM education, a systematic review was conducted. Based on a set of inclusion and exclusion criteria, 30 articles published during the years of 2010 through 2019 were included. Analyses were conducted to identify the contexts of studies, research foci, research methodologies, measures, research instruments, the mobile game features and so on. Based on the analyses, a comprehensive understanding of the research in mobile game-based learning in STEM education was presented, and insights and directions for future research were provided. The systematic review suggests that, although current research has greatly increased our understanding of mobile game-based learning in STEM education, future research is needed to address the fundamental question of when mobile game-based learning is an appropriate approach for learning in STEM education and when is not. © 2020, Association for Educational Communications and Technology."
"A study on the impact of steam education for sustainable development courses and its effects on student motivation and learning","Hsiao P.-W.; Su C.-H.","2021","Sustainability (Switzerland)","62","Article","EN","In 2019, the United Nations released its 10-year policy of ""ESD for 2030"". Many schools around the world have actively participated in the transformation and have included the United Nations Sustainable Development Goals (SDGs) in Education for Sustainable Development (ESD). Many developed countries hope to combine the concept of STEAM education (Science, Technology, Engineering, Art, and Mathematics) with interdisciplinary learning, and apply it to ESD. This study intended to integrate the sustainability concept into Virtual Reality (VR) system-aided STEAM ed­ucation, in order to provide school children with integrated interdisciplinary STEAM education. A literature review was conducted and the research hypotheses were proposed. The empirical method and questionnaires were used as research methods to investigate the influence of the proposed sys­tem on the students' satisfaction, self-efficacy, and learning outcomes after cognition learning. The results of this study showed that the combination of STEAM education, with VR-aided experience courses, could help to improve the learning satisfaction and outcomes of students and to arouse their learning motivation. However, the proposed system needs an ESD that is based on students' traditional culture (such as designing a role-playing game), so that they can improve their self-effi­cacy through playing a VR game. Although VR games are interesting, they are difficult for some students to play. Therefore, it is necessary to adjust the teaching materials, methods, and strategies appropriately by using information technology, so that ESD can be achieved by inspiring students to explore continuously. The findings can serve as a reference for further relevant studies. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
"A NOVEL TRILOGY OF E-STEM PROGRAMS","Gharib M.; Katbeh T.; Benjamin Cieslinski G.; Creel B.","2021","ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)","3","Conference paper","EN","In recent years, pre-college educational programs have been introduced to increase the interest and supply of skillful people to work in STEM fields. While the emphasis has previously been primarily focused on the content of project-based learning programs, another factor that needs to be accounted for is the accessibility of the said programs. Unprecedented issues such as the sudden closure of educational facilities, as was experienced during the COVID-19 pandemic, should not hinder the learning opportunities that the students are after. Therefore, the shift from hosting conventional STEM programs to online platforms has become a crucial element in the expansion of STEM education. Delivering engineering-based projects through online STEM programs to school students includes wide expansion of the participating audience – which is not confined by the capacity limit of in-person programs – as well as ease of access. This has value not only on the individual level but also at the social level. Three successful e-STEM (electronic STEM) programs are presented in this paper that are designed to support and enhance students’ learning of engineering concepts while also increasing students’ understanding of real-life applications. This has a close connection to the desire to increase online education in developing countries over recent years. The first program is called Innovate, Design and Engineer an App (IDEA). In this program, the students explore the fundamentals of programming and mobile app development. This provides the students with the foundation of coding, algorithms, and refining their ideas to produce a working mobile phone app that is created to meet a specified challenge. The second program is called Creative Fusion and Innovation (CFI). In this program, the students learned the basics of creating, editing, and analyzing their 3D designs; recognize the importance of creating 3D models in engineering; and understand how 3D printing works as they create their own 3D models. The third program is called Virtual Robotics Games (VRG). In this program, the students learn the fundamentals of designing, building, programming, and testing robots in a virtual environment. Through this program, the students learn the basics of robot design in addition to coding and simulation, which are all necessary tools for aspiring engineers. These programs aim to provide STEM education access to build communities specifically in engineering, which is in high demand. Throughout these programs, the students are able to learn important computer skills and the concepts of the engineering design process. The programs also equip them with the required knowledge and problem-solving skills to tackle challenges. At the end of each program, the students will have created successful designs as solutions to the real-life problems that they were tasked with. In this paper, the details behind the planning, formation and production, and implementation of the three online programs are presented. Copyright © 2021 by ASME"
"Fostering STEAM education using computers and information technologies","Basogain X.; Olabe J.C.; Olabe M.A.","2020","ACM International Conference Proceeding Series","1","Conference paper","EN","The academic world is witnessing the new opportunities offered by information and computer technologies for STEAM education (Science, Technology, Engineering, Arts and Mathematics). These STEAM subjects, studied in integrated form, are considered essential in the education of citizens of a modern society. This paper addresses the development and support of STEAM education that our research team has carried out in recent years in different educational environments that include engineering studies, training of future teachers, primary and secondary education, and outreach to society. We will describe a set of activities that promote STEAM education, including courses (face-to-face courses, online courses, and MOOC courses), and scientific and informative conferences. We make use a set of applications of information and computing technologies in the creation and delivery of courses and conferences that include programming languages (ie Matlab, WolframAlpha-Computational Intelligent, Snap and Scratch), learning platforms (Moodle, MiriadaX), resources/tools to interact with the student (motivate face-to-face sessions, e.g. Socrative, video conferences and online tutorials e.g. Blackboard Collaborate, remote desktop connection, and website portals, among other resources). This paper presents real cases carried out in university educational centers, and in primary and secondary schools. These are examples that show cases of integration of computer science, engineering and education in which information and computer technologies are used to promote STEAM education.  © 2020 ACM."
"Automated Assessment of Android Exercises with Cloud-native Technologies","Bruzual D.; Montoya Freire M.L.; Di Francesco M.","2020","Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE","8","Conference paper","EN","Mobile applications are very challenging to test as they usually have a complex graphical user interface and advanced functionality that involves interacting with remote services. Due to these features, student assessment in courses about mobile application development usually relies on assignments or projects that are manually checked by teaching assistants for grading. This approach clearly does not scale to large classrooms, especially for online courses. This article presents a novel system for automated assessment of Android exercises with cloud-native technologies. Different from the state of the art, the proposed solution leverages a mobile app testing framework that is largely used in the industry instead of custom libraries. Furthermore, the devised system employs software containers and scales with the availability of resources in a data center, which is essential for massive open online courses. The system design and implementation is detailed, together with the results from a deployment within a master-level course with 120 students. The received feedback demonstrates that the proposed solution was effective, as it provided insightful feedback and supported independent learning of mobile application development. © 2020 ACM."
"STEM/STEAM education research in South Korea","Hong O.","2021","STEM Education from Asia: Trends and Perspectives","4","Book chapter","EN","Science, Technology, Engineering, and Mathematics (STEM) education has been emphasised in Korea as a foundation for leading change and innovation as well as developing core competencies for future generations. In school education, Science, Mathematics, and Informatics (SMI) are regarded as core subjects to prepare students for rapid changes in society caused by digital transformation. An essential feature of STEM education in Korea is its emphasis on integrated and interdisciplinary approaches through Science, Technology, Engineering, Arts, and Mathematics (STEAM) education. To support STEM/STEAM education, a wide range of research has been conducted on curriculum development, teachers’ professional development, the establishment of learning environments, student learning activities, and education in informal contexts. This chapter provides an overview of Korean national policies and current issues on SMI and STEAM education. It also presents trends in STEM/STEAM education research, focusing on research conducted or supported by the national initiative of STEM/STEAM education, the Korea Foundation for the Advancement of Science and Creativity (KOFAC). The chapter then concludes with a brief discussion of the future directions of STEM/STEAM education. © 2022 selection and editorial matter, Tang Wee Teo, Aik-Ling Tan and Paul Teng; individual chapters, the contributors."
"Latest advances in STEAM education research and practice: A review of the literature","Kwan R.; Wong B.T.-M.","2021","International Journal of Innovation and Learning","9","Conference paper","EN","This paper presents a review of the characteristics of, and trends in, sciences, technology, engineering, arts, and mathematics (STEAM) education. It covers 63 articles involving empirical STEAM education practices in 2013 to 2018 which were collected from Scopus. The major findings show: 1) an increasing number of STEAM education practices over the years, particularly at the secondary and primary school levels; 2) a broader range of research purposes and objectives of practice in the recent literature, with emerging foci on enhancing the effectiveness of STEAM learning, broadening the diversity of STEAM education, and addressing teachers' perceptions, development, and support; 3) arts, science and technology as being the most frequently covered discipline areas in the interdisciplinary STEAM practices; 4) hands-on practice, problem-solving, project-based learning, and real-life scenarios as being the essential elements in the STEAM learning and teaching approaches, and the extensive use of educational technology as an emerging trend. The results suggest the areas for future work needed for the development of STEAM education, including the promotion and implementation of STEAM at the preschool level, the factors facilitating or hindering effective STEAM teaching, and the kinds of support desirable for teachers. © 2021 Inderscience Enterprises Ltd.. All rights reserved."
"Promoting Computer Science Learning with Block-Based Programming and Narrative-Centered Gameplay","Min W.; Mott B.; Park K.; Taylor S.; Akram B.; Wiebe E.; Boyer K.E.; Lester J.","2020","IEEE Conference on Computatonal Intelligence and Games, CIG","12","Conference paper","EN","Recent years have seen increasing awareness of the need for all students in primary and secondary education to learn computer science (CS) concepts and skills. Educational games hold significant potential to serve as a platform for CS education because they integrate engaging problem solving with effective pedagogical strategies. This potential is especially high for narrative-centered educational games that embed learning activities within rich interactive stories. In this paper, we present an educational game featuring block-based programming challenges contextualized within an engaging narrative, designed to promote CS learning for middle school students (ages 11 to 13). In the game, students undertake problem-solving challenges that are aligned with the K-12 Computer Science Framework. Results from a classroom implementation of the game with middle grade students suggest that their perceived game control ratings are positively correlated with their progress in the game, which suggests the need for adaptively supporting students' game-based learning activities. Building on these findings, we discuss design implications for creating student-adaptive CS learning experiences in educational games that incorporate block-based programming enriched narrative-centered gameplay.  © 2020 IEEE."
"Shuffle, cut, and learn: Crypto go, a card game for teaching cryptography","González-Tablas A.I.; González Vasco M.I.; Cascos I.; Palomino Á.P.","2020","Mathematics","7","Article","EN","Cryptography is the mathematical core of information security. It serves both as a source of hard computational problems and as precise language allowing for the formalization of sound security models. While dealing with the mathematical foundations of cybersecurity is only possible in specialized courses (tertiary level and beyond), it is essential to promote the role of mathematics in this field at early educational stages. With this in mind, we introduce Crypto Go, a physical card game that may be used both as a dissemination and as an educational tool. The game is carefully devised in order to entertain and stimulate players, while boosting their understanding on how basic cryptographic tools work and interplay. To get a preliminary assessment of our design, we collected data from a series of test workshops, which engaged over two hundred players from different ages and educational backgrounds. This basic evaluation indeed confirms that Crypto Go significantly improves students’ motivation and has a positive impact in their perception and understanding of the field. ©2020 by the authors. Licensee MDPI, Basel, Switzerland."
"STEM projects as science teaching and learning strategies in teacher training and primary education: Cognitive and affective analysis","Borreguero G.M.; Núñez M.M.; Correa F.L.N.","2021","Topics in Science Education","1","Book chapter","EN","Integrated STEM (Science, Technology, Engineering and Mathematics) education has been recognized as a useful educational paradigm for developing valuable personal and professional skills and competencies. These include research, problem solving, critical and creative thinking, collaboration, teamwork, and communication. Likewise, several studies highlight the potential of STEM education to foster students' attitudes and interests in the study of these subjects. It seems advisable, therefore, to apply these educational practices from the early school years. It is at this stage that the first attitudes and emotions towards STEM areas begin to be forged, since the cognitive domain is linked to the affective domain and vice versa. The main objective of this study was to design and implement playful science projects in the elementary classroom that facilitate the learning of STEM concepts in formal contexts and promote positive emotions in students. The research design was quasi-experimental, with experimental groups, pre-test, posttest, and mixed analysis of the cognitive and affective variables under study. The sample consisted of 664 participants, of whom 190 were primary school teachers in training and 474 were primary school students (10-12 years old). As a measuring instrument, several questionnaires were designed and validated to assess the variables referred to the cognitive and affective domain before and after the didactic interventions carried out in the classroom. STEM projects on different curricular contents were designed and implemented. The results obtained show the didactic effectiveness of the projects developed in the improvement of the conceptual domain in science, finding statistically significant differences (Sig. < 0.05) between the pre-test and the post-test in both study samples. Positive results were also obtained in the affective and emotional variables analysed. An increase in the interest of the surveyed participants in learning scientific-technological contents in a practical way was also observed. Based on these results, it is considered that integrated STEM education may have a significant effect on student learning and on the teacher training of the future educator. It is also assumed that science teaching at the primary stage can be supported by teachers who have received initial training in science based on STEM integration. © 2021 by Nova Science Publishers, Inc. All rights reserved."
"STEAM education: contributing evidence of validity and effectiveness (Educación STEAM: aportando pruebas de validez y efectividad)","Bautista A.","2021","Infancia y Aprendizaje","11","Article","EN","While the acronym STEAM — Science, Technology, Engineering, Arts, Mathematics — has become a buzzword in educational settings, STEAM education is still at an early stage in its development. In fact, many consider the promotion of STEAM education as being based on relatively weak empirical grounds. This special issue responds to the need for additional evidence regarding STEAM’s validity and effectiveness. In the first part of this article, the STEAM construct is defined, with its origin, characteristics and various models described. The barriers that hinder or prevent its application in the classroom are also analysed. The second part presents the six articles included in the special issue. The first article analyses the theoretical bases of STEAM education. It is followed by five empirical studies: two are contextualized within primary education, two within secondary education and one final study on STEAM teacher education. We trust that this series of studies will contribute to further developing the theoretical, epistemological and practical frameworks underpinning STEAM education. © 2021 Fundacion Infancia y Aprendizaje."
"Digital Learning Games for Mathematics and Computer Science Education: The Need for Preregistered RCTs, Standardized Methodology, and Advanced Technology","Bertram L.","2020","Frontiers in Psychology","19","Article","EN","In today’s digital information society, mathematical and computational skills are becoming increasingly important. With the demand for mathematical and computational literacy rising, the question of how these skills can be effectively taught in schools is among the top priorities in education. Game-based learning promises to diversify education, increase students’ interest and motivation, and offer positive and effective learning experiences. Especially digital game-based learning (DGBL) is considered an effective educational tool for improving education in classrooms of the future. Yet, learning is a complex psychological phenomenon and the effectiveness of digital games for learning cannot be taken for granted. This is partly due to a diversity of methodological approaches in the literature and partly due to theoretical and practical considerations. We present core elements of psychological theories of learning and derive arguments for and against DGBL and non-DGBL. We discuss previous literature on DGBL in mathematics education from a methodological point of view and infer the need for randomized controlled trials for effectiveness evaluations. To increase comparability of empirical results, we propose methodological standards for future educational research. The value of multidisciplinary research projects to advance the field of DGBL is discussed and a synergy of Affective Computing and Optimal Experimental Design (OED) techniques is proposed for the implementation of adaptive technologies in digital learning games. Finally, we make suggestions for game content, which would be suitable for preparing students for university-level mathematics and computer science education, and discuss the potential limitations of DGBL in the classroom. © Copyright © 2020 Bertram."
"Effects of STEM Inquiry Method on Learning Attitude and Creativity","Chen K.; Chen C.","2021","Eurasia Journal of Mathematics, Science and Technology Education","16","Article","EN","The innovative education trend is gradually developed on/off campus in past years. The constant integration of digital technology with education generating the new-style education model redefines the integrated activity and information technology curricula at schools. Creative thinking aims to cultivate students combining various situations (e.g., scientific situation, industrial situation, living situation) with creative design and developing original research and problem solving with specific engineering goals. Taking college students in Bangkok, Thailand, as the research object, total 316 students are preceded the 16-week (3 hours per week for total 48 hours) STEM inquiry method experimental research. The research results are summarized as below. 1. STEM inquiry method cultivates students’ personal scientific activity and inquiry ability without restricting the ideas, but guides students to experience the complete learning process. 2. STEM education, with integrated instruction, cultivates students learning knowledge and skills for the application to real life. During students’ learning, the integration of subject knowledge, life experience, and learner-centered is emphasized. 3. Taking the curriculum design principle of STEM inquiry method, i.e. students’ interested issues, into the consideration of curriculum design and combining several relevant curriculum fields for integrated instruction, the planned self-directed learning activities and opportunities could assist students in applying the learned knowledge to solve problems in real life so as to enhance students’ creative thinking ability. According to the results to propose suggestions, it is expected to help students learn complete knowledge and, more importantly, present critical thinking and problem solving abilities. © 2021. licensee Modestum. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/)."
"A Review: Implementation of Design Thinking Education in K-12","Zhang S.; Sun Y.; Wen Z.; Ge Q.","2021","Lecture Notes in Networks and Systems","2","Conference paper","EN","Design thinking is a thinking tool, process, and method to guide creative activities. This paper makes a comparative research on STEAM education in America, phenomenon-based learning in Finnish, Design and Technology Course in England, and K-12 design thinking education in China by literature research and case study, and summarizes the current situation of design thinking education in K-12 around the world. This work aims to analyze the present difficulties and then propose the ways to promote K-12 design thinking education in China. We conclude that, as for K-12 design thinking education in China, some progress has been made in organizational form, project theme and activity process, but there are still many difficulties. To further promote K-12 design thinking education in China with a high quality, it is necessary to use service design methodology to coordinate all stakeholders and integrate the social resources. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"The Effectiveness of a Design Thinking Tool for the Development of Creativity in Teaching STEM Subjects among Special Needs Education Teachers","Balakrishnan B.; Azman M.N.A.; Sharif A.M.; Yaacob M.I.H.; Zain H.H.M.; Hock K.E.","2021","International Journal of Science, Mathematics and Technology Learning","1","Article","EN","This study aims to explore the effectiveness of a Design Thinking (DT) tool toward special needs education teachers who taught Science, Technology, Engineering, and Mathematics (STEM) subjects at the primary level. The impact of the DT tool was explored in the context of lesson plan design for STEM subjects and in the development of creative skills among the special education teachers. Data were elicited from open-ended interviews involving a group of special education teachers who were chosen among the participants of a DT workshop, which was also conducted by the researchers. The findings revealed that the DT tool helped facilitate the teachers to design and develop suitable STEM teaching activities for students with disabilities to learn the subjects effectively. In addition, the DT tool also facilitated the teachers to unleash their creative skills in the teaching process. From the findings, the use of the DT tool has the potential to create a new teaching paradigm for STEM subjects in special needs education and instilling creative skills among teaching practitioners. © 2021 Common Ground Research Networks, Balamuralithara Balakrishnan,. All Rights Reserved."
"STEM and STEAM Education in RU Education: Conceptual Framework","Shukshina L.V.; Gegel L.A.; Erofeeva M.A.; Levina I.D.; Chugaeva U.Y.; Nikitin O.D.","2021","Eurasia Journal of Mathematics, Science and Technology Education","9","Article","EN","The paper examines the STEM approach as one of the revolutionary tools for transforming education. This paper discloses the content of the concept of “STEAM-education”, substantiates its importance and prerequisites for its appearance. The author elucidates a comparative analytical review of trends and prospects for the development of STEAM education in the RU Federation. In this paper, the authors want to touch upon a comprehensive theoretical and methodological study conducted on the declared problem to identify the problem of the formation and development of the STEAM approach in the education system in the RU Federation at all levels: general education, vocational education, and additional education. The object of this study was STEM education. The subject of this research was the STEM approach and STEM technologies in the system of general education, vocational education, and additional education. The methodological foundation of the study was the general scientific propositions on the holistic, systemic, and dialectical approaches to research, which made it possible to assess the totality of interrelated and interacting elements that form a certain integrity. The use of these approaches provided a comprehensive analysis and formulation of the research problem and determined the strategy for its study. The analysis of the current state of STEM and STEAM education in higher education in the RU Federation suggests that it is necessary to stimulate the development of information and communication technologies in the country's education system in general, as well as to develop comprehensive programs for adapting STEM and STEAM approaches among the subjects of educational relations. In the context of modern global risks and challenges, the educational trajectory of development in Russia should be conceptually consistent with the new strategy in the field of natural science education adopted in the United States, “The Path to Success: American Strategy for STEM Education”. Experts believe that through the practical implementation of STEM and STEAM technologies, it is possible to improve the efficiency of the quality of training for the purposes of the modern digital economic sphere. In this regard, the primary competences obtained in the higher education system in the areas of STEM and STEAM training should be cognitive, personal, and interpersonal competences, expressed in digital literacy, computational thinking, creativity, open mind, soft skills, and others. The concept of STEAM education in the system of higher professional education in Russia will ensure the transformation of ideas about scientific knowledge and build an innovative development process through the formation of skills in the field of exact sciences, linguistics, engineering, art, etc. © 2021 the authors; licensee Modestum. All Rights Reserved."
"Leading learning communities with creative practice","Brown S.L.; Bird J.L.; Musgrove A.; Powers J.","2020","Research Anthology on Facilitating New Educational Practices Through Communities of Learning","0","Book chapter","EN","Reflective leadership stories from various fields including, instructional technology, education and humanities guide the reader to reflect upon practice. Leadership theories that support personal growth, caring, interpersonal communication, problem solving, and creativity are discussed (Bass, 2008). Furthermore, the authors describe how creative leaders can use Communities of Practice (CoPs) as a mechanism to share and build knowledge, solve problems, and foster professional growth and development. © 2021, IGI Global."
"Instrumentation, Implementation and Tools in STEM - STEAM Education: A Systematic Literature Review","Juca-Aulestia M.; Zúñiga-Tinizaray F.; Pozo-Vinueza M.; Malla-Alvarado F.; Cáceres-Mena M.; Almendariz-Pozo P.; Cáceres-Mena A.; Román-Robalino D.","2021","Advances in Intelligent Systems and Computing","2","Conference paper","EN","The purpose of this research is to provide knowledge about the implementation of tools and useful elements in STEM-STEAM education, in a universal way, through a systematic review of the literature. The methodology SLR used is applied to engineering and education. 92 articles were selected from the Scopus database. The results allow identifying that STEM-STEAM education is implemented based on educational policies and reforms to improve teaching and learning, with the purpose of developing skills for problem-solving, fostering creativity, critical thinking, communication, collaboration, data management, and analysis, as well as the use of learning environments with the implementation of curricula that integrate the subjects of science, technology, engineering, mathematics, and art in an interdisciplinary and transdisciplinary manner. In conclusion, this type of education allows for quality education in the educational institutions, through the use of different tools that allow active, localized, goal-oriented, collaborative, and meaningful learning. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"Youth making machine learning models for gesture-controlled interactive media","Zimmermann-Niefield A.; Polson S.; Moreno C.; Shapiro R.B.","2020","Proceedings of the Interaction Design and Children Conference, IDC 2020","38","Conference paper","EN","Machine learning (ML) technologies are ubiquitous and increasingly influential in daily life. They are powerful tools people can use to build creative, personalized systems in a wide variety of contexts. We believe ML has vast potential for young people to use to make creative projects, especially when used in conjunction with programming. This potential is understudied. We know little about what projects youth might create, or what computational practices they could engage in while building them. We combined a beginner-level ML modeling toolkit with a beginning programming tool and then investigated how young people created and remixed projects to incorporate custom ML-based gestural inputs. We found that (1) participants were able to build and integrate ML models of their own gestures into programming projects; (2) the design of their gestures ranged from coherent to disjoint with respect to the narratives, characters, and actions of their interactive worlds; and (3) they tested their projects by assessing the programmed vs. modeled aspects of them as distinct units. We conclude with a discussion of how we might support youth in combining code and ML modeling going forward. © 2020 ACM."
"Designing with Genes in Early Childhood: An exploratory user study of the tangible CRISPEE technology","Strawhacker A.; Verish C.; Shaer O.; Bers M.U.","2020","International Journal of Child-Computer Interaction","7","Article","EN","Biodesign, a speculative and creative offshoot from the field of bioengineering, is an area of STEM that is growing in popularity in education settings, primarily because of its unique interdisciplinary lens that connects STEM disciplinary knowledge and creative design practices. Although this trend is currently limited to middle school, high school, and higher education, prior research suggests that children 5 years and older, may yield long-term gains from exploring developmentally-appropriate concepts from novel STEM fields. Although there is little research on educational technologies or resources to support young children's curiosity and learning in this novel domain, some research suggests that young children may already be forming preconceptions about genetics and biology (e.g., from popular media). Tangible technologies, which provide children qualitatively new, developmentally appropriate ways to engage with ideas and techniques, have been shown to support children's engagement with foundational ideas relevant to biodesign, including the engineering design process. By applying developmentally appropriate constraints to our technology development (e.g., through frameworks such as the Positive Technological Development), the research team developed and evaluated a novel tangible technology called CRISPEE to introduce young children to concepts of biology and engineering. This article describes an experimental pilot study to investigate (1) how young children interact with the CRISPEE technological prototype, and (2) what prior knowledge the average child might bring to an educational biodesign activity. Implications for ongoing technology development and developmentally appropriate learning goals are discussed. © 2020 Elsevier B.V."
"An Experience of Game-Based Learning in Web Applications Development Courses","Antón-Rodríguez M.; Pérez-Juárez M.Á.; Diáz-Pernas F.J.; González-Ortega D.; Martínez-Zarzuela M.; Aguiar-Pérez J.M.","2020","OpenAccess Series in Informatics","1","Conference paper","EN","Preparing graduates for working in the software engineering industry is challenging and requires effective learning frameworks and methodologies. More specifically, the challenge of teaching programming languages and paradigms is a very complex task that needs innovative educational tools. This paper presents a game-based educational tool named eLiza, developed and used to support the teaching and learning of programming languages and paradigms related to the development of web applications. eLiza was initially developed as a Moodle-based web application because Moodle is the educational eLearning platform used at the University of Valladolid, but as the use of mobile devices is constantly increasing, Android and iOS versions were created later in order to facilitate the access of the students to the games. This paper describes the main elements and the mechanics in playing eLiza. And it also describes an experience of its use in two engineering courses related to web programming applications development, offered to students in two different engineering study programs at the University of Valladolid, during the academic years 2017-2018 and 2018-2019. The great majority of the students, more than 75%, considered that the use of the eLiza game-based educational tool was positive to improve the teaching and learning process of the topics covered by the courses. 2012 ACM Subject Classification Social and professional topics ! Computer science education. © 2020 Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing. All rights reserved."
